Source,Target,Capacity,Flow
0,2,1,0
0,5,2,0
0,6,2,0
0,15,1,0
0,18,1,0
0,20,2,0
0,31,2,0
0,60,1,0
0,79,2,0
0,92,1,0
0,106,2,0
0,109,1,0
0,119,1,0
0,126,2,0
0,127,1,0
0,137,2,0
0,139,1,0
0,152,2,0
0,154,2,0
0,155,1,0
0,159,2,0
0,164,1,0
0,174,1,0
0,176,1,0
0,189,2,0
0,195,2,0
0,197,2,0
1,0,1,0
1,2,1,0
1,4,2,0
1,12,1,0
1,15,1,0
1,17,1,0
1,31,2,0
1,32,1,0
1,34,1,0
1,38,1,0
1,43,1,0
1,45,2,0
1,49,1,0
1,63,1,0
1,66,1,0
1,80,1,0
1,91,1,0
1,97,2,0
1,101,1,0
1,110,2,0
1,116,2,0
1,127,1,0
1,142,1,0
1,146,1,0
1,152,1,0
1,154,1,0
1,159,1,0
1,164,2,0
1,175,2,0
1,176,2,0
1,177,1,0
1,179,2,0
1,185,1,0
1,191,2,0
2,4,2,0
2,17,1,0
2,18,2,0
2,20,2,0
2,26,1,0
2,29,2,0
2,31,1,0
2,34,1,0
2,43,1,0
2,45,2,0
2,49,2,0
2,57,2,0
2,58,2,0
2,65,2,0
2,69,2,0
2,80,2,0
2,92,1,0
2,98,2,0
2,101,1,0
2,109,2,0
2,112,2,0
2,116,1,0
2,127,1,0
2,139,1,0
2,142,2,0
2,146,2,0
2,154,1,0
2,159,2,0
2,164,2,0
2,174,2,0
2,176,2,0
2,177,2,0
2,179,2,0
3,0,1,0
3,1,2,0
3,2,1,0
3,5,2,0
3,7,1,0
3,12,1,0
3,17,1,0
3,18,2,0
3,22,2,0
3,24,1,0
3,28,2,0
3,46,2,0
3,52,2,0
3,53,1,0
3,67,2,0
3,68,2,0
3,70,2,0
3,74,1,0
3,75,1,0
3,76,1,0
3,87,1,0
3,92,1,0
3,93,1,0
3,111,1,0
3,122,1,0
3,130,1,0
3,134,2,0
3,139,1,0
3,152,1,0
3,161,2,0
3,177,2,0
3,182,1,0
3,185,2,0
3,189,2,0
4,0,1,0
4,9,2,0
4,13,2,0
4,15,1,0
4,17,1,0
4,20,2,0
4,43,1,0
4,50,2,0
4,60,2,0
4,62,2,0
4,66,1,0
4,75,2,0
4,79,2,0
4,87,2,0
4,93,1,0
4,94,1,0
4,98,2,0
4,101,2,0
4,105,1,0
4,106,1,0
4,108,2,0
4,111,2,0
4,119,2,0
4,137,1,0
4,154,2,0
4,155,2,0
4,159,1,0
4,166,1,0
4,173,1,0
4,174,2,0
4,176,2,0
5,1,2,0
5,2,1,0
5,4,2,0
5,37,2,0
5,45,2,0
5,50,2,0
5,60,1,0
5,65,1,0
5,85,1,0
5,87,1,0
5,92,2,0
5,93,2,0
5,98,2,0
5,101,2,0
5,105,1,0
5,108,1,0
5,110,1,0
5,111,1,0
5,119,2,0
5,126,2,0
5,127,1,0
5,137,1,0
5,139,1,0
5,142,1,0
5,146,2,0
5,164,1,0
5,166,2,0
5,173,1,0
5,174,2,0
5,176,1,0
5,178,2,0
5,197,2,0
6,2,2,0
